Jogo: Terraria | 🏆 Troféu: Timber!! | 📝 Como platinar: Chop down your first tree.
Jogo: Terraria | 🏆 Troféu: No Hobo | 📝 Como platinar: Build a house suitable enough for your first town NPC, such as the guide, to move into.
Jogo: Terraria | 🏆 Troféu: Stop! Hammer Time! | 📝 Como platinar: Obtain your first hammer via crafting or otherwise.
Jogo: Terraria | 🏆 Troféu: Ooo! Shiny! | 📝 Como platinar: Mine your first nugget of ore with a pickaxe.
Jogo: Terraria | 🏆 Troféu: Heart Breaker | 📝 Como platinar: Discover and smash your first heart crystal underground.
Jogo: Terraria | 🏆 Troféu: Heavy Metal | 📝 Como platinar: Obtain an anvil made from iron or lead.
Jogo: Terraria | 🏆 Troféu: I Am Loot! | 📝 Como platinar: Discover a golden chest underground and take a peek at its contents.
Jogo: Terraria | 🏆 Troféu: Star Power | 📝 Como platinar: Craft a mana crystal out of fallen stars, and consume it.
Jogo: Terraria | 🏆 Troféu: Hold on Tight! | 📝 Como platinar: Equip your first grappling hook.
Jogo: Terraria | 🏆 Troféu: Eye on You | 📝 Como platinar: Defeat the Eye of Cthulhu, an ocular menace who only appears at night.
Jogo: Terraria | 🏆 Troféu: Smashing, Poppet! | 📝 Como platinar: Using explosives or your trusty hammer, smash a Shadow Orb or Crimson Heart in the evil parts of your world.
Jogo: Terraria | 🏆 Troféu: Worm Fodder | 📝 Como platinar: Defeat the Eater of Worlds, a massive worm whom dwells in the corruption.
Jogo: Terraria | 🏆 Troféu: Mastermind | 📝 Como platinar: Defeat the Brain of Cthulhu, an enourmous demon brain which haunts the creeping crimson.
Jogo: Terraria | 🏆 Troféu: Where's My Honey? | 📝 Como platinar: Discover a large bee's hive deep in the jungle.
Jogo: Terraria | 🏆 Troféu: Sting Operation | 📝 Como platinar: Defeat the Queen Bee, the matriarch of the jungle hives.
Jogo: Terraria | 🏆 Troféu: Boned | 📝 Como platinar: Defeat Skeletron, the cursed guardian of the dungeon.
Jogo: Terraria | 🏆 Troféu: Dungeon Heist | 📝 Como platinar: Steal a key from the dungeon's undead denizens, and unlock one of their precious golden chests.
Jogo: Terraria | 🏆 Troféu: It's Getting Hot in Here | 📝 Como platinar: Spelunk deep enough to reach the molten underworld.
Jogo: Terraria | 🏆 Troféu: Miner for Fire | 📝 Como platinar: Craft a molten pickaxe using the hottest of materials.
Jogo: Terraria | 🏆 Troféu: Still Hungry | 📝 Como platinar: Defeat the Wall of Flesh, the master and core of the world who arises after a great, burning sacrifice.
Jogo: Terraria | 🏆 Troféu: It's Hard! | 📝 Como platinar: Unleash the ancient spirits of light and darkness across your world, enabling much stronger foes and showering the world with dazzling treasures (and rainbows!).
Jogo: Terraria | 🏆 Troféu: Begone, Evil! | 📝 Como platinar: Smash a demon or crimson altar with a powerful, holy hammer.
Jogo: Terraria | 🏆 Troféu: Extra Shiny! | 📝 Como platinar: Mine a powerful ore that has been newly blessed upon your world.
Jogo: Terraria | 🏆 Troféu: Head in the Clouds | 📝 Como platinar: Equip a pair of wings.
Jogo: Terraria | 🏆 Troféu: Like a Boss | 📝 Como platinar: Obtain a boss-summoning item.
Jogo: Terraria | 🏆 Troféu: Buckets of Bolts | 📝 Como platinar: Defeat the three nocturnal mechanical menaces: the Twins, the Destroyer, and Skeletron Prime.
Jogo: Terraria | 🏆 Troféu: Drax Attax | 📝 Como platinar: Craft a drax or pickaxe axe using hallowed bars, and the souls of the three mechanical bosses.
Jogo: Terraria | 🏆 Troféu: Photosynthesis | 📝 Como platinar: Mine chlorophyte, an organic ore found deep among the thickest of flora.
Jogo: Terraria | 🏆 Troféu: Get a Life | 📝 Como platinar: Consume a life fruit, which grows in the thick of subterranean jungle grass.
Jogo: Terraria | 🏆 Troféu: The Great Southern Plantkill | 📝 Como platinar: Defeat Plantera, the overgrown monstrosity of the jungle's depths.
Jogo: Terraria | 🏆 Troféu: Temple Raider | 📝 Como platinar: Breach the impenetrable walls of the jungle temple.
Jogo: Terraria | 🏆 Troféu: Lihzahrdian Idol | 📝 Como platinar: Defeat Golem, the stone-faced ritualistic idol of the lihzahrd tribe.
Jogo: Terraria | 🏆 Troféu: Robbing the Grave | 📝 Como platinar: Obtain a rare treasure from a difficult monster in the dungeon.
Jogo: Terraria | 🏆 Troféu: Big Booty | 📝 Como platinar: Unlock one of the dungeon's large, mysterious chests with a special key.
Jogo: Terraria | 🏆 Troféu: Fish Out of Water | 📝 Como platinar: Defeat Duke Fishron, mutant terror of the sea.
Jogo: Terraria | 🏆 Troféu: Obsessive Devotion | 📝 Como platinar: Defeat the Ancient Cultist, fanatical leader of the dungeon coven.
Jogo: Terraria | 🏆 Troféu: Star Destroyer | 📝 Como platinar: Defeat the four celestial towers of the moon.
Jogo: Terraria | 🏆 Troféu: Champion of Terraria | 📝 Como platinar: Defeat the Moon Lord.
Jogo: Terraria | 🏆 Troféu: Bloodbath | 📝 Como platinar: Survive a blood moon, a nocturnal event where the rivers run red and monsters swarm aplenty.
Jogo: Terraria | 🏆 Troféu: Slippery Shinobi | 📝 Como platinar: Defeat King Slime, the lord of all things slimy.
Jogo: Terraria | 🏆 Troféu: Goblin Punter | 📝 Como platinar: Triumph over a goblin invasion, a ragtag regiment of crude, barbaric, pointy-eared warriors and their shadowflame sorcerers.
Jogo: Terraria | 🏆 Troféu: Walk the Plank | 📝 Como platinar: Triumph over a pirate invasion, a group of pillagers from the sea out for your booty... and your life!
Jogo: Terraria | 🏆 Troféu: Kill the Sun | 📝 Como platinar: Survive a solar eclipse, a day darker than night filled with creatures of horror.
Jogo: Terraria | 🏆 Troféu: Do You Want to Slay a Snowman? | 📝 Como platinar: Triumph over the frost legion, a festive family of maniacal snowman mobsters.
Jogo: Terraria | 🏆 Troféu: Tin-Foil Hatter | 📝 Como platinar: Triumph over a martian invasion, when beings from out of this world come to scramble your brains and probe you in uncomfortable places.
Jogo: Terraria | 🏆 Troféu: Baleful Harvest | 📝 Como platinar: Reach the 15th wave of a pumpkin moon, where evil lurks among the autumn harvest.
Jogo: Terraria | 🏆 Troféu: Ice Scream | 📝 Como platinar: Reach the 15th wave of a frost moon, where the festive season quickly degrades into madness.
Jogo: Terraria | 🏆 Troféu: Sticky Situation | 📝 Como platinar: Survive the slime rain, where gelatinous organisms fall from the sky in droves.
Jogo: Terraria | 🏆 Troféu: Real Estate Agent | 📝 Como platinar: Have all possible town NPCs living in your world.
Jogo: Terraria | 🏆 Troféu: Not the Bees! | 📝 Como platinar: Fire a Bee Gun while wearing a full set of Bee Armor.
Jogo: Terraria | 🏆 Troféu: Jeepers Creepers | 📝 Como platinar: Stumble into a spider cavern in the underground.
Jogo: Terraria | 🏆 Troféu: Funkytown | 📝 Como platinar: Build or encounter a glowing mushroom field above the surface.
Jogo: Terraria | 🏆 Troféu: Into Orbit | 📝 Como platinar: You can only go down from here!
Jogo: Terraria | 🏆 Troféu: Rock Bottom | 📝 Como platinar: The only way is up!
Jogo: Terraria | 🏆 Troféu: Mecha Mayhem | 📝 Como platinar: Do battle against the Twins, the Destroyer, and Skeletron Prime simultaneously and emerge victorious.
Jogo: Terraria | 🏆 Troféu: Gelatin World Tour | 📝 Como platinar: Defeat every type of slime there is!
Jogo: Terraria | 🏆 Troféu: Fashion Statement | 📝 Como platinar: Equip armor or vanity clothing in all three social slots.
Jogo: Terraria | 🏆 Troféu: Vehicular Manslaughter | 📝 Como platinar: Defeat an enemy by running it over with a minecart.
Jogo: Terraria | 🏆 Troféu: Bulldozer | 📝 Como platinar: Destroy a total of 10,000 tiles.
Jogo: Terraria | 🏆 Troféu: There are Some Who Call Him... | 📝 Como platinar: Kill Tim.
Jogo: Terraria | 🏆 Troféu: Deceiver of Fools | 📝 Como platinar: Kill a nymph.
Jogo: Terraria | 🏆 Troféu: Sword of the Hero | 📝 Como platinar: Obtain a Terra Blade, forged from the finest blades of light and darkness.
Jogo: Terraria | 🏆 Troféu: Lucky Break | 📝 Como platinar: Survive a long fall with just a sliver of health remaining.
Jogo: Terraria | 🏆 Troféu: Throwing Lines | 📝 Como platinar: Throw a yoyo.
Jogo: Terraria | 🏆 Troféu: Dye Hard | 📝 Como platinar: Equip a dye in every possible dye slot.
Jogo: Terraria | 🏆 Troféu: Sick Throw | 📝 Como platinar: Obtain the Terrarian.
Jogo: Terraria | 🏆 Troféu: The Frequent Flyer | 📝 Como platinar: Spend over 1 gold being treated by the nurse.
Jogo: Terraria | 🏆 Troféu: The Cavalry | 📝 Como platinar: Equip a mount.
Jogo: Terraria | 🏆 Troféu: Completely Awesome | 📝 Como platinar: Obtain a minishark.
Jogo: Terraria | 🏆 Troféu: Til Death... | 📝 Como platinar: Kill the groom.
